,angle,county,distance,quadrant,radius,store,tract
940,69.495272570883,113,8.79319661480404,1,10,5,018403
941,53.180325896550244,113,9.821181241393033,1,10,5,018600
942,22.401015328383323,113,7.686459532052124,1,10,5,019016
943,35.37486427972681,113,8.266091115124114,1,10,5,019019
944,304.57851435547707,113,9.98738850888482,4,10,5,014138
945,285.0908069697591,113,7.871638125180757,4,10,5,014204
946,293.27178659887016,113,8.990211723730388,4,10,5,014206
947,15.88365055685216,113,1.062807986829691,1,3,5,019600
948,273.68014292358635,113,6.6990044542038145,4,10,5,020100
949,177.79252460967473,113,3.0946346320221427,2,5,5,020400
950,336.59090694611587,113,4.223433407213114,4,5,5,020600
951,301.28106652707993,113,3.853977985548694,4,5,5,980100
952,245.09566097334573,113,9.625481770868312,3,10,5,015800
953,209.2416453728748,113,1.2964387717892383,3,3,5,001800
954,199.1835596097793,113,4.199171568379306,3,5,5,002000
955,133.7359378549241,113,4.333197412886472,2,5,5,002701
956,188.52882058818665,113,2.5680418574737143,3,3,5,003101
957,154.70754363032756,113,5.214049363553716,2,10,5,003902
958,208.03425619532317,113,4.534581242221731,3,5,5,004201
959,221.6728519483451,113,4.074932681222726,3,5,5,004300
960,195.99897380025467,113,5.242648587421827,3,10,5,004800
961,214.5605150989623,113,6.92195771688691,3,10,5,005300
962,192.78017025441272,113,7.3872708210582125,3,10,5,005600
963,186.0456847028854,113,8.582376459674284,3,10,5,005901
964,190.3000598272265,113,8.455690538811384,3,10,5,005902
965,204.407673793747,113,7.85599917436886,3,10,5,006301
966,213.3151828231904,113,7.5029695573674795,3,10,5,006401
967,222.87790609973652,113,8.159010133243822,3,10,5,006501
968,228.75129469184705,113,5.695486049805253,3,10,5,006900
969,311.42053940016916,113,2.771965254009218,4,3,5,007102
970,336.89738614710984,113,3.240424994316813,4,5,5,007301
971,336.4933494507885,113,5.3548810828033675,4,10,5,007601
972,16.833743693044767,113,7.148858554496931,1,10,5,007804
973,45.57131984992401,113,4.277182167840557,1,5,5,007809
974,26.490535209172492,113,6.952804891103561,1,10,5,007810
975,28.021777624687672,113,5.700007766260688,1,10,5,007812
976,33.34550708757064,113,4.645796639253631,1,5,5,007821
977,36.797241132421505,113,5.291081406805323,1,10,5,007824
978,41.9682053289622,113,5.074799704721404,1,10,5,007826
979,42.37677146214082,113,3.1297602566757887,1,5,5,007903
980,25.2474467609602,113,3.4356925879557068,1,5,5,007912
981,136.33774961724407,113,8.397077663574297,2,10,5,009301
982,141.80573111201687,113,8.738645877655562,2,10,5,009304
983,351.53928902464565,113,7.110623419926558,4,10,5,009604
984,317.8328521679198,113,8.031797836860848,4,10,5,009610
985,320.5553836146316,113,7.655239500185108,4,10,5,009611
986,264.95458481473145,113,4.036077014888393,3,5,5,010000
987,226.48822506077255,113,3.3646058480776255,3,5,5,010102
988,61.56709542514659,113,2.3466058432581485,1,3,5,000201
989,260.34469845342596,113,2.164408205881784,3,3,5,000401
990,291.46873574634225,113,1.8607872732726725,4,3,5,000601
991,29.138177465574074,113,0.48053339181440435,1,1,5,000702
992,106.53871914800987,113,0.6993056679730919,2,1,5,000900
993,115.66714244925868,113,2.85487165107711,2,3,5,001204
994,107.42438792559989,113,2.429918549708295,2,3,5,001301
995,108.90286486722488,113,1.9010206564557977,2,3,5,001400
996,197.02304957294834,113,1.6401884322825098,3,3,5,001704
997,243.25758293611753,113,6.08524254604764,3,10,5,010500
998,246.7454443553485,113,7.75403676730602,3,10,5,010602
999,214.77427454629236,113,8.83717422173972,3,10,5,010805
1000,193.8531232900646,113,9.584340829513353,3,10,5,011002
1001,143.774881327265,113,6.101769809240749,2,10,5,011500
1002,117.87556730385216,113,8.901127247832111,2,10,5,012000
1003,112.98095800315804,113,8.319468191915451,2,10,5,012100
1004,105.87673764071025,113,4.25789450274291,2,5,5,012208
1005,99.34425949849987,113,6.10097657809868,2,10,5,012211
1006,82.66716610436538,113,6.315621048131682,1,10,5,012400
1007,70.60996532986019,113,7.401299567945382,1,10,5,012701
1008,66.23585450620226,113,6.630994210079494,1,10,5,012800
1009,39.92139252906537,113,6.245514271086356,1,10,5,013008
1010,43.38205905390157,113,6.718348909879462,1,10,5,013009
1011,53.95025793723204,113,7.205383530116347,1,10,5,013011
1012,3.384553939321563,113,6.971941602755561,1,10,5,013200
1013,340.6806242433457,113,6.279720248423702,4,10,5,013500
1014,359.1031402660665,113,9.638580163808518,4,10,5,013606
1015,349.11796701848215,113,9.780396316325715,4,10,5,013616
1016,350.4597904850589,113,9.144824962167725,4,10,5,013624
1017,333.76635026011553,113,9.385515266511366,4,10,5,013803
1018,322.9728823802766,113,9.950006667352186,4,10,5,013901
1019,326.9979440217318,113,9.46849458348222,4,10,5,013902
1020,132.49329210584108,113,8.007728656956253,2,10,5,009105
1021,11.277024571797483,113,8.140558142224291,1,10,5,019208
1022,12.987620013668845,113,2.814014656022863,1,3,5,019301
1023,347.99686992067,113,1.1416973338318863,4,3,5,019700
1024,90.42139609311675,113,3.2369679133493356,2,5,5,000100
1025,122.94579572579869,113,2.0644973484493305,2,3,5,001302
1026,216.4084387772939,113,5.445801148537012,3,10,5,004202
1027,183.62745016286428,113,6.331536483341388,3,10,5,005500
1028,35.20908938914937,113,4.294084477349124,1,5,5,007820
1029,32.736692366458726,113,3.315204033623009,1,5,5,007910
1030,85.55079347591084,113,4.691062030979317,1,5,5,008100
1031,168.2256091368364,113,8.164297903352661,2,10,5,008701
1032,135.63473953346147,113,7.335879935245785,2,10,5,009103
1033,322.1582915029187,113,4.771017215310649,4,5,5,009402
1034,314.20604924458416,113,5.461136129861779,4,10,5,009802
1035,121.49137281330343,113,9.95070013844104,2,10,5,011900
1036,89.47879788327072,113,6.84809613036623,1,10,5,012301
1037,331.0736344184763,113,8.213824046969846,4,10,5,013804
1038,272.5697143191867,113,8.937438771711438,4,10,5,014603
1039,30.733167473720812,113,2.961557170120054,1,3,5,007909
1040,187.99988413842735,113,4.480598728138529,3,5,5,004100
1041,39.211928141731676,113,9.253973181753691,1,10,5,019032
1042,311.7151624876186,113,1.342513371820322,4,3,5,019800
1043,201.1421156068841,113,0.44015806196209195,3,1,5,000701
1044,108.40408119311633,113,3.517208387211983,2,5,5,001202
1045,102.28091108684112,113,5.221771645551556,2,10,5,012204
1046,326.66959210360164,113,7.906919309042171,4,10,5,009605
1047,310.59535255740803,113,6.305136052576768,4,10,5,009803
1048,27.96530875797407,113,8.114934000906763,1,10,5,019034
1049,146.67136644385857,113,9.620055670107718,2,10,5,011601
1050,76.6873126655413,113,6.955624395381612,1,10,5,012702
1051,358.30459934270624,113,5.927889850127445,4,10,5,013300
1052,339.85461461815527,113,9.475799659914564,4,10,5,013726
1053,45.55432010669563,113,7.830872691497822,1,10,5,018506
1054,2.0577009898766505,113,2.13801392154291,1,3,5,019400
1055,240.89468306187533,113,4.8096179278431785,3,5,5,020500
1056,170.70445325813955,113,1.3085990340653588,2,3,5,001600
1057,153.88560665155353,113,4.119695305415475,2,5,5,003700
1058,182.95659578923818,113,8.125657277051852,3,10,5,005700
1059,35.30890904454145,113,6.9773276477022455,1,10,5,007811
1060,34.13325449413168,113,2.6463431235385246,1,3,5,007913
1061,122.52067829174808,113,5.233146979072084,2,10,5,008400
1062,284.8493370578684,113,9.969377109071338,4,10,5,014307
1063,54.56636485875191,113,8.661110586963368,1,10,5,018501
1064,225.79447533025544,113,7.779774613899881,3,10,5,019900
1065,194.6379379604755,113,2.3021139395734895,3,3,5,002100
1066,127.52165764671707,113,2.583519960035849,2,3,5,002400
1067,95.0597170613886,113,6.830211055694013,2,10,5,012302
1068,13.388345975636184,113,4.746208905525629,1,5,5,013104
1069,5.804811908025897,113,8.929711861067888,1,10,5,013609
1070,135.619031267739,113,1.5747901352067528,2,3,5,001504
1071,207.6541896230468,113,6.228812935151468,3,10,5,005100
1072,194.8916439811623,113,8.57869535740499,3,10,5,006002
1073,224.0104971420606,113,6.026869047304322,3,10,5,006800
1074,31.030596819246,113,4.076414105844782,1,5,5,007818
1075,52.305552719174784,113,3.5552967862067586,1,5,5,007902
1076,317.96541280186756,113,5.14254981234572,4,10,5,009401
1077,236.85223169712566,113,1.3566721875276062,3,3,5,000500
1078,92.36116990083156,113,1.5519161702647313,2,3,5,001101
1079,264.81626026121774,113,0.4863640898642246,3,1,5,000606
1080,187.42553372806026,113,5.578504982022406,3,10,5,004900
1081,177.6241741852773,113,7.3523977477157265,2,10,5,008802
1082,331.88047646427236,113,6.71997560443167,4,10,5,009609
1083,56.03408744573227,113,1.8873440748003318,1,3,5,000202
1084,108.58951981579548,113,6.633134595895858,2,10,5,012207
1085,180.02686100852495,113,6.752893785171997,3,10,5,008801
1086,170.26294065514003,113,4.042609500112294,2,5,5,003400
1087,76.47188763870298,113,8.69797259409627,1,10,5,012604
1088,359.17006737695095,113,8.362465054383518,4,10,5,013608
1089,211.58869603377178,113,5.653688708726367,3,10,5,004600
1090,109.65433202522024,113,9.376987468783648,2,10,5,017602
1091,136.0127837264455,113,1.3162363040107303,2,3,5,001503
1092,31.939888814473306,113,3.649002944721843,1,5,5,007911
1093,243.17460239473166,113,0.9411164346761809,3,1,5,000605
1094,327.15703595995024,113,5.847706597905802,4,10,5,009500
1095,92.98182956067234,113,5.161576840973398,2,10,5,012209
